Lnum	basehw	suffix	resolution	in_sanhw1
7324.022	AmrAvarta	rtam	AmrAvartam	True
7414.002	AraRyaH	RyaH	AraRyaH	True
7533.020	ArDaDAtuka	kam	ArDaDAtukam	True
7538.046	AryamiSra	SraH	AryamiSraH	True
7538.056	Aryavftta	ttam	Aryavfttam	True
7538.060	Aryavrata	tam	Aryavratam	True
7598	AliNgin	gI	None	False
7745	Avartin	rtI	None	False
7797.042	ASAvaha	haH	ASAvahaH	True
7812.030	ASuga	gaH	ASugaH	True
7812.034	ASutoza	zaH	ASutozaH	True
7838.024	ASrayASaH	ASaH	ASrayASaH	True
7838.024	ASrayASaH	ka	ASrayASaka	False
7874.020	AzAQaBava	vaH	AzAQaBavaH	True
7874.020	AzAQaBava	BUH	None	False
7883	AsaH	sam	Asam	True
8041	Ahartf	rtA	None	False
8130.028	itikaTa	TA	itikaTA	True
8167.022	indirAmandiraH	ram	indirAmandiram	True
8171.026	indukAntaH	tA	indukAntA	True
8171.030	indujaH	jA	indujA	True
8176.032	indrAyuDam	DaH	indrAyuDaH	True
8176.032	indrAyuDam	DA	indrAyuDA	True
8176.048	indrakIlaH	lam	indrakIlam	True
8176.054	indrakfzwa	zwaH	indrakfzwaH	True
8176.100	indrajAlika	kaH	indrajAlikaH	True
8176.154	indrapurohitaH	tA	indrapurohitA	True
8184.036	indriyagocara	raH	indriyagocaraH	True
8184.054	indriyaboDana	nam	indriyaboDanam	True
8215.022	irAkzIra	raH	irAkzIraH	True
8215.024	irAcara	ram	irAcaram	True
8216	irAvat	vAn	None	False
8260.030	izwaganDa	DaH	izwaganDaH	True
8260.030	izwaganDa	Dam	izwaganDam	True
8269.028	izvAsa	saH	izvAsaH	True
8269.048	izumAtra	tram	izumAtram	True
8312	Idfkza	kzI	IdfkzI	False
8312	Idfkza	SI	None	False
8355.024	Izatkara	ram	Izatkaram	True
8355.040	IzatpARqu	RquH	IzatpARquH	True
8355.048	Izadrakta	ktaH	IzadraktaH	True
8356.022	IzAdanta	ntaH	IzAdantaH	True
8381	ukzan	kzA	None	False
8390.028	ugraganDa	nDaH	ugraganDaH	True
8390.028	ugraganDa	nDA	ugraganDA	True
8390.028	ugraganDa	nDam	ugraganDam	True
8390.062	ugraputra	traH	ugraputraH	True
8390.082	ugrasenaH	nA	ugrasenA	True
8399.034	uccanIca	cam	uccanIcam	True
8404.024	uccErGoza	zaH	uccErGozaH	True
8404.038	uccEHsvara	raH	uccEHsvaraH	True
8428	uccala	lam	uccalam	True
8526.024	uqupaH	paH	uqupaH	True
8527	uqumbaraH	ram	uqumbaram	True
8659.030	uttAnapAda	daH	uttAnapAdaH	True
8659.032	uttAnaSaya	yaH	uttAnaSayaH	True
8659.032	uttAnaSaya	yA	uttAnaSayA	False
8659.036	uttAnahasta	stO	uttAnahastO	False
8677.022	uttarADara	rO	uttarADarO	False
8677.058	uttaretara	rA	uttaretarA	True
8677.060	uttarottara	ram	uttarottaram	True
8677.060	uttarottara	ram	uttarottaram	True
8677.130	uttarapaScima	maH	uttarapaScimaH	True
8677.130	uttarapaScima	mA	uttarapaScimA	True
8677.140	uttarapUrva	rvA	uttarapUrvA	True
8677.200	uttarasaMjYita	taH	uttarasaMjYitaH	True
8677.204	uttarasADaka	kaH	uttarasADakaH	True
8823.022	utsAhavarDanaH	nam	utsAhavarDanam	True
8833	utsuka	kaH	utsukaH	True
8870.064	udakada	daH	udakadaH	True
8897.056	udapezam	zam	udapezam	True
8897.084	udavAsaH	sam	udavAsam	True
8897.088	udavAha	haH	udavAhaH	True
8897.106	udahAra	raH	udahAraH	True
8911.038	udarapiSAca	caH	udarapiSAcaH	True
8911.046	udaraSaya	yaH	udaraSayaH	True
9028	udGAwakaH	kam	udGAwakam	True
9143.020	udBijja	jjaH	udBijjaH	True
9310.030	unmattapralapita	tam	unmattapralapitam	True
9678	upanetf	tA	upanetftA	False
9845.020	upalabDArTa	bDArTA	upalabDArTA	True
10254	uBaya	yI	uBayI	True
10254.028	uBayacara	raH	uBayacaraH	True
10254.036	uBayaBAgahara	ram	uBayaBAgaharam	True
10255.032	uBayatomuKa	KI	uBayatomuKI	True
10273	uraRaH	RI	uraRI	False
10293	uru	ru	uru	True
10293	uru	rvI	None	False
10293.030	urukrama	maH	urukramaH	True
10293.032	urukzaya	yaH	urukzayaH	True
10293.036	urugAya	yaH	urugAyaH	True
10293.062	uruloka	kaH	urulokaH	True
10293.062	uruloka	kam	urulokam	True
10419.028	uzobuDa	DaH	uzobuDaH	True
10463.050	UruskamBaH	mBA	UruskamBA	False
10483.022	UrDvAyana	nam	UrDvAyanam	True
10483.038	UrDvakaRWa	RWI	UrDvakaRWI	True
10483.050	UrDvaga	gaH	UrDvagaH	True
10483.056	UrDvagati	tiH	UrDvagatiH	True
10483.062	UrDvacaraRa	RaH	UrDvacaraRaH	True
10483.062	UrDvacaraRa	pAdam	None	False
10483.084	UrDvadfzwi	zwiH	UrDvadfzwiH	True
10483.108	UrDvapfSni	SniH	UrDvapfSniH	True
10483.130	UrDvamuKa	Kam	UrDvamuKam	True
10499	UzaH	zam	Uzam	True
10507.026	UzmapaH	paH	UzmapaH	True
10632.002	ekaH	kam	ekam	True
10632.022	ekAkza	kzaH	ekAkzaH	True
10632.024	ekAkzara	ram	ekAkzaram	True
10632.026	ekAgni	kaH	ekAgnikaH	True
10632.028	ekAgra	graH	ekAgraH	True
10632.032	ekANgaH	aNgam	None	False
10632.032	ekANgaH	NgI	ekANgI	True
10632.046	ekAnta	taH	ekAntaH	True
10632.046	ekAnta	tam	ekAntam	True
10632.046	ekAnta	tam	ekAntam	True
10632.046	ekAnta	tena	None	False
10632.046	ekAnta	tataH	None	False
10632.046	ekAnta	te	ekAnte	True
10632.056	ekAnnam	nnaH	ekAnnaH	True
10632.064	ekAyana	nam	ekAyanam	True
10632.068	ekArTa	rTaH	ekArTaH	True
10632.082	ekAzWIla	laH	ekAzWIlaH	True
10632.116	ekarc	cam	None	False
10632.118	ekEka	kam	ekEkam	True
10632.130	ekakArya	ryam	ekakAryam	True
10632.148	ekaguru	ruH	ekaguruH	True
10632.148	ekaguru	rukaH	None	False
10632.156	ekacakra	krA	ekacakrA	True
10632.160	ekacara	raH	ekacaraH	True
10632.166	ekacitta	ttam	ekacittam	True
10632.194	ekajAti	tiH	ekajAtiH	True
10632.204	ekatAna	naH	ekatAnaH	True
10632.284	ekanATa	TaH	ekanATaH	True
10632.288	ekaniScaya	yaH	ekaniScayaH	True
10632.308	ekapad	pAd	None	False
10632.308	ekapad	padI	ekapadI	True
10632.312	ekapada	de	ekapade	True
10632.312	ekapada	dI	ekapadI	True
10632.330	ekapAtin	nI	ekapAtinI	False
10632.332	ekapAda	daH	ekapAdaH	True
10632.370	ekaBakta	Buktam	None	False
10632.374	ekaBAryA	ryaH	ekaBArryaH	False
10632.392	ekamuKa	Kam	ekamuKam	True
10632.410	ekarasa	saH	ekarasaH	True
10632.438	ekavastra	stram	ekavastram	True
10632.460	ekaviMSa	SaH	ekaviMSaH	True
10632.500	ekaSaPa	PaH	ekaSaPaH	True
10632.512	ekaSAlA	lam	ekaSAlam	True
10632.528	ekaSrutiH	ti	ekaSruti	True
10632.562	ekahAyana	nam	ekahAyanam	True
10881.026	ozaDija	jaH	ozaDijaH	True
10998	Opayika	kI	OpayikI	True
11126.030	kaNkamuKa	KaH	kaNkamuKaH	True
11126.030	kaNkamuKa	Kam	kaNkamuKam	True
11129	kaNkaRaH	karaH	None	False
11149.028	kacapaH	pam	kacapam	True
11197.036	kawaKAdaka	kaH	kawaKAdakaH	True
11228.026	kawukaPalaH	lam	kawukaPalam	True
11382.060	kaduzRa	zRam	kaduzRam	True
11399.036	kanakAhvayaH	yam	kanakAhvayam	True
11399.064	kanakapraBa	BA	kanakapraBA	True
11481.026	kapotABa	BaH	kapotABaH	True
11537.144	karavIraH	rI	karavIrI	True
11615.056	karRagUTam	TaH	karRagUTaH	True
11615.098	karRapAliH	lI	karRapAlI	True
11615.138	karRavarjita	taH	karRavarjitaH	True
11667.040	karmArha	rhaH	karmArhaH	True
11667.100	karmajaH	jaH	karmajaH	True
11693.030	kalakaRWa	RWaH	kalakaRWaH	True
11693.052	kalanAda	daH	kalanAdaH	True
11719.032	kalahapriya	yA	kalahapriyA	True
11739.030	kalipriya	yaH	kalipriyaH	True
11773	kalyARin	nI	kalyARinI	True
11789	kavara	rA	kavarA	True
11789	kavara	rI	kavarI	True
11860.030	kAkoqumbaraH	rikA	None	False
11914	kAWinam	naH	kAWinaH	True
11919.024	kARqakAraH	ram	kARqakAram	True
11961.022	kAntida	dam	kAntidam	True
11989.066	kAmAyuDam	DaH	kAmAyuDaH	True
11989.134	kAmada	daH	kAmadaH	True
11989.196	kAmarUpa	pAH	kAmarUpAH	True
11989.210	kAmavallaBaH	BA	kAmavallaBA	True
12024.036	kAyasTaH	sTI	kAyasTI	True
12035.002	kAraRA	kAraRAt	None	False
12123.056	kAlAnusAriH	ryam	None	False
12123.224	kAlapfzWam	kam	None	False
12196.020	kAsakuRWa	RWaH	kAsakuRWaH	True
12196.022	kAsaGna	GnaH	kAsaGnaH	True
12241.036	kiNkaraH	rA	kiNkarA	False
12241.036	kiNkaraH	rI	kiNkarI	True
12530.030	kumBakAraH	rI	kumBakArI	True
12576.060	kuleSvaraH	rA	kuleSvarA	False
12576.128	kulaDana	nam	kulaDanam	True
12638.046	kuSasTalam	lI	kuSasTalI	True
12708.078	kUwasTa	sTaH	kUwasTaH	True
12708.078	kUwasTa	sTam	kUwasTam	True
12759.022	kftANka	NkaH	kftANkaH	True
12759.030	kftAnta	taH	kftAntaH	True
12759.098	kftakAla	laH	kftakAlaH	True
12834.100	kfzRapiNgala	lA	kfzRapiNgalA	True
12834.152	kfzRasaKaH	KI	kfzRasaKI	True
13002.064	koSasTa	sTaH	koSasTaH	True
13203.020	krUrAkfti	tiH	krUrAkftiH	True
13210	krozwu	zwrI	None	False
13212.020	krOYcAdanam	nI	krOYcAdanI	True
13270.026	kzaRadaH	dam	kzaRadam	True
13354.032	kzitijaH	jA	kzitijA	True
13446.040	kzetrajYa	jYaH	kzetrajYaH	True
13489.034	Kaga	gaH	KagaH	True
13741.028	gajASanaH	nam	gajASanam	True
13763.030	gaRAByantara	raH	gaRAByantaraH	True
13764	gaRaka	RikA	gaRikA	True
13813.036	ganDAQya	QyaH	ganDAQyaH	True
13813.132	ganDamAdana	naH	ganDamAdanaH	True
13813.132	ganDamAdana	nam	ganDamAdanam	True
13856.026	garada	daH	garadaH	True
13856.026	garada	dam	garadam	True
14052.044	giricara	raH	giricaraH	True
14052.046	girija	jA	girijA	True
14052.094	giriBU	BUH	giriBUH	True
14052.110	giriSfNgaH	gam	giriSfNgam	True
14063.028	gItapriya	yaH	gItapriyaH	True
14063.028	gItapriya	yA	gItapriyA	True
14097.086	guRakAra	raH	guRakAraH	True
