Lnum	basehw	suffix	resolution
14268.106	gotram	traH	gotraH
14268.116	goda	daH	godaH
14268.116	goda	dA	godA
14268.118	godatra	traH	godatraH
14268.118	godatra	tram	godatram
14268.142	goDanam	naH	goDanaH
14268.188	goparasaH	pakaH	None
14268.188	goparasaH	pikA	None
14268.188	goparasaH	pI	None
14268.218	gopITaH	Tam	gopITam
14268.274	gomuKaH	KaH	gomuKaH
14268.274	gomuKaH	Kam	gomuKam
14268.274	gomuKaH	KI	gomuKI
14359.024	grahAvamardanaH	nam	grahAvamardanam
14448.070	GanaDvani	niH	GanaDvaniH
14560.024	GrARatarpaRa	Ram	GrARatarpaRam
14577.020	cakrANgaH	Ngam	cakrANgam
14577.026	cakrAraH	ram	cakrAram
14577.156	cakrasaMjYam	jYaH	cakrasaMjYaH
14641.038	caturaSra	SraH	caturaSraH
14641.038	caturaSra	sraH	None
14641.060	catuzkoRa	RaH	catuzkoRaH
14641.100	catuzpada	daH	catuzpadaH
14641.100	catuzpada	dI	catuzpadI
14641.122	caturBuja	jam	caturBujam
14642.006	caturTAMSa	SaH	caturTAMSaH
14670.044	candrAnana	naH	candrAnanaH
14670.060	candrakAntaH	taH	candrakAntaH
14670.060	candrakAntaH	tam	candrakAntam
14670.060	candrakAntaH	tam	candrakAntam
14716.022	cararam	rI	cararI
14872.032	cArunetra	netraH	cArunetraH
14872.032	cArunetra	naH	None
14935.064	cittapraSama	maH	cittapraSamaH
14945.124	citraBAnu	nuH	citraBAnuH
15246.044	CAyAmAnaH	nam	CAyAmAnam
15266.030	Cinnamasta	stA	CinnamastA
15266.030	Cinnamasta	kA	None
15314.066	jagannATaH	TO	jagannATO
15314.066	jagannATaH	TA	jagannATA
15314.080	jagadyoniH	niH	jagadyoniH
15374.052	janezwa	zwaH	janezwaH
15374.052	janezwa	zwA	janezwA
15374.076	janapriya	yaH	janapriyaH
15466.036	jalADidEvataH	tam	jalADidEvatam
15466.076	jalArdra	Ardram	jalArdram
15466.076	jalArdra	ArdrA	jalArdrA
15466.082	jalASaya	yaH	jalASayaH
15466.102	jalodBava	vA	jalodBavA
15466.114	jalakara	raH	jalakaraH
15466.130	jalakukkuwaH	wI	jalakukkuwI
15466.150	jalacara	raH	jalacaraH
15466.156	jalaja	jaH	jalajaH
15466.156	jalaja	jaH	jalajaH
15466.156	jalaja	jam	jalajam
