BaseL	AssignedL
3058.XYZ	3058.006
Lbody:3058.XYZ	Lbody:3058.004
3061.XYZ	3061.002
3067.XYZ	3067.002
3080.XYZ	3080.002
3081.XYZ	3081.002
3081.XYZ	3081.004
Lbody:3081.XYZ	Lbody:3081.002
3081.XYZ	3081.006
3084.XYZ	3084.002
3084.XYZ	3084.004
3086.XYZ	3086.002
3098.XYZ	3098.002
3099.XYZ	3099.004
3102.XYZ	3102.002
3109.XYZ	3109.004
3121.XYZ	3121.002
3122.XYZ	3122.002
3127.XYZ	3127.004
3127.XYZ	3127.006
3127.XYZ	3127.008
Lbody:3127.XYZ	Lbody:3127.006
3133.XYZ	3133.002
3133.XYZ	3133.004
3133.XYZ	3133.006
3134.XYZ	3134.002
3135.XYZ	3135.002
3143.XYZ	3143.004
3145.XYZ	3145.002
3149.XYZ	3149.002
3157.XYZ	3157.002
3157.XYZ	3157.004
3157.XYZ	3157.006
3157.XYZ	3157.008
3160.XYZ	3160.002
3165.XYZ	3165.002
3167.XYZ	3167.002
3179.XYZ	3179.002
3185.XYZ	3185.002
3187.XYZ	3187.002
3202.XYZ	3202.002
3205.XYZ	3205.002
3213.XYZ	3213.002
3213.XYZ	3213.004
3213.XYZ	3213.006
3219.XYZ	3219.002
3222.XYZ	3222.002
3223.XYZ	3223.004
3229.XYZ	3229.002
3229.XYZ	3229.004
3229.XYZ	3229.006
3229.XYZ	3229.008
Lbody:3229.XYZ	Lbody:3229.006
3229.XYZ	3229.010
3229.XYZ	3229.012
3229.XYZ	3229.014
3230.XYZ	3230.002
3230.XYZ	3230.004
3232.XYZ	3232.002
3234.XYZ	3234.004
3242.XYZ	3242.002
3242.XYZ	3242.004
3242.XYZ	3242.006
3245.XYZ	3245.002
3245.XYZ	3245.004
3251.XYZ	3251.004
3251.XYZ	3251.006
3251.XYZ	3251.008
3252.XYZ	3252.002
3252.XYZ	3252.004
3256.XYZ	3256.002
3258.XYZ	3258.002
3259.XYZ	3259.002
3259.XYZ	3259.004
3264.XYZ	3264.002
3271.XYZ	3271.002
3274.XYZ	3274.002
3274.XYZ	3274.004
Lbody:3274.XYZ	Lbody:3274.002
3275.XYZ	3275.002
3278.XYZ	3278.002
3282.XYZ	3282.002
3285.XYZ	3285.002
3287.XYZ	3287.002
3289.XYZ	3289.002
3290.XYZ	3290.002
3290.XYZ	3290.004
3290.XYZ	3290.006
3301.XYZ	3301.002
3309.XYZ	3309.004
3311.XYZ	3311.002
3311.XYZ	3311.004
3338.XYZ	3338.002
3367.XYZ	3367.002
3376.XYZ	3376.002
3383.XYZ	3383.004
3383.XYZ	3383.006
Lbody:3383.XYZ	Lbody:3383.004
3384.XYZ	3384.002
3391.XYZ	3391.002
3401.XYZ	3401.002
3401.XYZ	3401.004
3424.XYZ	3424.002
3439.XYZ	3439.002
3440.XYZ	3440.002
3443.XYZ	3443.002
3450.XYZ	3450.002
3450.XYZ	3450.004
3457.XYZ	3457.002
3460.XYZ	3460.002
3469.XYZ	3469.002
3487.XYZ	3487.002
3501.XYZ	3501.002
3525.XYZ	3525.002
3526.XYZ	3526.002
3547.XYZ	3547.002
3554.XYZ	3554.002
3554.XYZ	3554.004
3560.XYZ	3560.002
3568.XYZ	3568.002
3570.XYZ	3570.002
3574.XYZ	3574.002
3574.XYZ	3574.004
3574.XYZ	3574.006
3574.XYZ	3574.008
Lbody:3574.XYZ	Lbody:3574.006
